study,solver,paradigm,p,lc,elements,setup_time,solver_time,total_time,extra
strong,steady,omp,1,0.07,544,0.00122612,0.227128,0.239336,552
strong,steady,omp,2,0.07,544,0.00124934,0.157257,0.165508,552
strong,steady,omp,4,0.07,544,0.00309607,0.168718,0.18857,552
strong,unsteady,omp,1,0.07,544,0.00141499,0.346553,0.348124,1000
strong,unsteady,omp,2,0.07,544,0.00224912,0.337065,0.343199,1000
strong,unsteady,omp,4,0.07,544,0.00248885,0.368094,0.371385,1000
weak,steady,omp,1,0.15,120,0.000224716,0.00306219,0.00524207,116
weak,steady,omp,2,0.106066,242,0.00063889,0.0179815,0.021578,247
weak,steady,omp,4,0.075,460,0.00807895,0.135532,0.178045,479
weak,unsteady,omp,1,0.15,120,0.000280875,0.089337,0.0904308,1000
weak,unsteady,omp,2,0.106066,242,0.000549857,0.159551,0.160375,1000
weak,unsteady,omp,4,0.075,460,0.00369273,0.391286,0.395432,1000
